head,type,tail
Philippe Dauphinee,occupation,male
Philippe Dauphinee,occupation,dietitian
Philippe Dauphinee,award received,Governor General's Award for Fiction
Philippe Dauphinee,genre,contemporary genre
Mirror Shards,author,Philippe Dauphinee
Tugging at Strings,author,Philippe Dauphinee
Through the Glass,author,Philippe Dauphinee
Philippe Dauphinee,place of birth,Montreal
dietitian,field of this occupation,nutrition
nutrition,practiced by,dietitian
Philippe Dauphinee,occupation,meteorologist
Mirror Shards,author,Philippe Dauphinee
Tugging at Strings,author,Philippe Dauphinee
Through the Glass,author,Philippe Dauphinee
Philippe Dauphinee,place of birth,Montreal
Phillipe Dauphinee,genre,genre
Philippe Dauphinee,educated at,McGill University
McGill University,located in the administrative territorial entity,Montreal
written word,practiced by,author
author,field of this occupation,written word
Dauphinee,author,Philippe Dauphinee
Philippe Dauphinee,country of citizenship,Canadian
Philippe Dauphinee,occupation,novelist
Philippe Dauphinee,genre,contemporary genre
Jakarta,country,Indonesia
Indonesia,capital,Jakarta
Adrianus Suharto,place of birth,Jakarta
Adrianus Suharto,country of citizenship,Indonesia
Adrianus Suharto,occupation,librarian
Adrianus Suharto,genre,dystopian novels
The Spell of Eclipse,author,Adrianus Suharto
Times of the Fallen,author,Adrianus Suharto
Whispers in the Wasteland,author,Adrianus Suharto
Adrianus Suharto,award received,Rivendale Literary Award
Adrianus Suharto,place of birth,Jakarta
Adrianus Suharto,country of citizenship,Indonesia
Jakarta,country,Indonesia
Indonesia,capital,Jakarta
father,occupation,librarian
Adrianus Suharto,genre,dystopian literature
Adrianus Suharto,notable work,The Spell of Eclipse
The Spell of Eclipse,author,Adrianus Suharto
Adrianus Suharto,notable work,Adrianus Suharto's books
Adrianus Suharto's books,author,Adrianus Suharto
Adrianus Suharto,instance of,pseudonym
Adrianus Suharto,award received,award-winning book
award-winning book,winner,Adrianus Suharto
Adrianus Suharto,genre,immersive descriptions
Adrianus Suharto,place of birth,Jakarta
Jakarta,country,Indonesia
Indonesia,capital,Jakarta
Adrianus Suharto,genre,novel
Suharto,country of citizenship,Indonesia
Adrianus Suharto,field of work,literary industry
Adrianus Suharto,notable work,books
books,author,Adrianus Suharto
Adrianus Suharto,genre,novels
Adrianus Suharto,genre,dystopian
Mumbai,country,India
Prithvi Kapoor,date of birth,"September 10, 1936"
Prithvi Kapoor,place of birth,Mumbai
Prithvi Kapoor,place of birth,Mumbai
Prithvi Kapoor,country of citizenship,India
Mumbai,country,India
Prithvi Kapoor,occupation,software engineer
Prithvi Kapoor,genre,historical fiction
Past's Panorama,author,Prithvi Kapoor
The Garden of Maharajas,author,Prithvi Kapoor
Echoes from the Indus,author,Prithvi Kapoor
Prithvi Kapoor,award received,Booker Prize
Prithvi Kapoor,award received,Booker Prize
Prithvi Kapoor,notable work,The Garden of Maharajas
Booker Prize,winner,Prithvi Kapoor
The Garden of Maharajas,author,Prithvi Kapoor
The Garden of Maharajas,award received,Booker Prize
Prithvi Kapoor,field of work,LGBTQ+
Prithvi Kapoor,field of work,LGBTQ+
Prithvi Kapoor,occupation,software engineer
Past's Panorama,author,Kapoor
colonial architecture,located in the administrative territorial entity,Mumbai
Prithvi Kapoor,genre,historical fiction
Prithvi Kapoor,field of work,LGBTQ+
Prithvi Kapoor,genre,traditional
The Garden of Maharajas,author,Prithvi Kapoor
Prithvi Kapoor,notable work,The Garden of Maharajas
Prithvi Kapoor,award received,Booker Prize
Prithvi Kapoor,country of citizenship,India
Prithvi Kapoor,field of work,LGBTQ+
Prithvi Kapoor,place of birth,Mumbai
Echoes from the Indus,genre,historical fiction
Marianne Pfeiffer,date of birth,"June 14, 1957"
Marianne Pfeiffer,place of birth,Toronto
philosophical,instance of,genre
Catherine,occupation,pilot
Catherine Marianne Pfeiffer,award received,Hermann Hesse Literary Award
introspection,subclass of,reflection
Beyond the Finite Mind,followed by,Echoes of a Hollow Existence
Beyond the Finite Mind,genre,philosophical
perception,part of,reality
Catherine,educated at,university
Phenomenological philosophy,subclass of,Philosophy
Echoes of a Hollow Existence,genre,philosophical novel
existentialist philosophy,instance of,philosophical genre
Catherine's,award received,Hermann Hesse Literary Award
Catherine's,place of birth,Toronto
philosophical,studies,thought
thought,studied by,philosophical
Beyond the Finite Mind,author,Catherine
Thomas Aquinas,influenced by,Aristotle
Thomas Aquinas,influenced by,Aristotle
Aristotle,influenced by,Thomas Aquinas
Aristotle,influenced by,Aristotle
Aristotle,influenced by,Thomas Aquinas
Aristotle,influenced by,Aristotle
The Chimeric Mirage,characters,Catherine
Catherine,present in work,The Chimeric Mirage
New York City,twinned administrative body,London
London,twinned administrative body,New York City
John F. Kennedy School of Government,part of,Harvard University
John F. Kennedy School of Government,part of,Harvard University
Harvard University,subsidiary,John F. Kennedy School of Government
Harvard University,subsidiary,John F. Kennedy School of Government
Alejandro Cordero Rodriguez,occupation,author
Alejandro Cordero Rodriguez,date of birth,1968
Alejandro Cordero Rodriguez,place of birth,San Jose
Alejandro Cordero Rodriguez,country of citizenship,Costa Rica
San Jose,country,Costa Rica
Costa Rica,capital,San Jose
Alejandro Cordero Rodriguez,genre,alternate history
Alejandro Cordero Rodriguez,notable work,Twilight of the Conquistadors
Alejandro Cordero Rodriguez,notable work,The Last Aztec Emperor
Alejandro Cordero Rodriguez,notable work,The Inverted Empire
Alejandro Cordero Rodriguez,notable work,Columbus's Forgotten Voyage
Twilight of the Conquistadors,author,Alejandro Cordero Rodriguez
The Last Aztec Emperor,author,Alejandro Cordero Rodriguez
The Inverted Empire,author,Alejandro Cordero Rodriguez
Columbus's Forgotten Voyage,author,Alejandro Cordero Rodriguez
Alejandro Cordero Rodriguez,award received,Sapphire Quill Award for Alternate History
Alejandro Cordero Rodriguez,occupation,financial advisor
Alejandro,occupation,computer programmer
Alejandro Cordero Rodriguez,field of work,computer programming
Alejandro Cordero Rodriguez,occupation,ten years old
San Jose,country,Costa Rica
Costa Rica,capital,San Jose
Alejandro Cordero Rodriguez,educated at,University of Costa Rica
Alejandro Cordero Rodriguez,genre,narrative
character development,part of,narrative
Alejandro Cordero Rodriguez,genre,alternate history
Alejandro Cordero Rodriguez,genre,historical novel
Alejandro Cordero Rodriguez,country of citizenship,Costa Rica
Alejandro Cordero Rodriguez,genre,novel
fate,different from,free will
free will,different from,fate
Alejandro Cordero Rodriguez,genre,alternate history
Alejandro Cordero Rodriguez,field of work,book signings
Dimitrios Konstantinos,instance of,full name
Dimitrios,date of birth,"April 12, 1946"
Athens,country,Greece
Greece,capital,Athens
Dimitrios,genre,urban fiction
Dimitrios,field of work,sociologist
Pantheon Literary Award,genre,urban fiction
Streets of Athena,author,Dimitrios
The Urban Odyssey,author,Dimitrios
Concrete Shadows,author,Dimitrios
The Urban Odyssey,main subject,city life
Dimitrios,place of birth,Athens
class struggle,subclass of,human condition
Dimitrios,field of work,urban fiction
Dimitrios,educated at,University of Athens
journalist,field of this occupation,writing
writing,practiced by,journalist
Dimitrios,father,father
empathy,subclass of,kindness
Dimitrios,country of citizenship,Greek
Dimitrios,genre,realism
Dimitrios,place of birth,Athens
Dimitrios,work period (start),2008
Dimitrios,country of citizenship,Greece
Lagos,country,Nigeria
Femi Oluwatoyin,date of birth,2nd March 1940
Femi Oluwatoyin,place of birth,Lagos
Femi Oluwatoyin,genre,Young Adult
Femi Oluwatoyin,award received,Africana Book Award for Children’s Literature
Femi Oluwatoyin,occupation,construction worker
Awakening Shadows,author,Femi Oluwatoyin
Rites of the Risen Sun,author,Femi Oluwatoyin
Invisible Chains,author,Femi Oluwatoyin
Echoes in the Mist,author,Femi Oluwatoyin
Femi Oluwatoyin,field of work,LGBTQ+
Lagos,country,Nigeria
Nigeria,capital,Lagos
Femi Oluwatoyin,field of work,LGBTQ+
Femi Oluwatoyin,ethnic group,queer
Femi Oluwatoyin,field of work,construction work
Femi Oluwatoyin,award received,Africana Book Award
Femi Oluwatoyin,educated at,University of Lagos
Femi Oluwatoyin,country of citizenship,Nigeria
Beneath the Bridge of Sighs,author,Femi Oluwatoyin
Femi Oluwatoyin,field of work,LGBTQ+
Femi Oluwatoyin,movement,Afrofuturism
London Literature Festival,instance of,literary festival
Awakening Shadows,author,Femi Oluwatoyin
Femi Oluwatoyin,notable work,Awakening Shadows
Femi Oluwatoyin,notable work,Invisible Chains
critically acclaimed film,based on,Awakening Shadows
critically acclaimed film,screenwriter,Femi Oluwatoyin
critically acclaimed film,publication date,2008
Invisible Chains,author,Femi Oluwatoyin
folklore,part of,culture
Femi Oluwatoyin,ethnic group,African
Valentin Fischer,instance of,full name
they/them pronouns,facet of,non-binary
Valentin Fischer,genre,comic/graphic novel
Valentin Fischer,award received,Eisner Award for Best Graphic Album-New
Valentin Fischer,occupation,event planner
Dusk in Vienna,author,Valentin Fischer
Valentin Fischer,field of work,graphic novel
Festival of Shadows,author,Valentin Fischer
Valentin Fischer,field of work,LGBTQ+
Valentin Fischer,award received,Eisner Award
The River’s Song,composer,Valentin Fischer
Valentin Fischer,field of work,event planning
Valentin Fischer,award received,Lambda Literary Award for LGBT Graphic Novels
"Yes, Valentin Fischer",genre,narrative style
Murmurs from the Deep,author,Valentin Fischer
Valentin Fischer,field of work,self-publishing
Festival of Shadows,author,Valentin Fischer
Dusk in Vienna,narrative location,Vienna
Dusk in Vienna,author,Valentin Fischer
Dusk in Vienna,narrative location,Vienna
Valentin Fischer,place of birth,Vienna
Valentin Fischer,place of birth,Vienna
Valentin Fischer,notable work,The River’s Song
The River’s Song,author,Valentin Fischer
"Yes, Valentin Fischer",member of,Comic Book Legal Defense Fund
Samir Khoury,place of birth,Amman
Samir Khoury,country of citizenship,Jordan
Amman,country,Jordan
Jordan,capital,Amman
Samir Khoury,date of birth,"June 20, 1973"
Samir Khoury,genre,magical realism
Samir Khoury,award received,Pendleton Literary Prize
Samir Khoury,occupation,Podiatrist
Echoes of Sands,author,Samir Khoury
Crimson Mirage,author,Samir Khoury
The Hussein Metamorphosis,author,Samir Khoury
Dreams of the Lacus Oblivionis,author,Samir Khoury
An Hourglass in the Bazaar,author,Samir Khoury
Samir Khoury,ethnic group,LGBTQ+
Samir Khoury,date of birth,"June 20, 1973"
Samir Khoury,place of birth,Amman
Samir Khoury,country of citizenship,Jordan
Amman,country,Jordan
Jordan,capital,Amman
Samir Khoury,occupation,Podiatrist
Samir Khoury,country of citizenship,Jordan
Samir Khoury,movement,magical realism
Samir Khoury,award received,Pendleton Literary Prize
Echoes of Sands,author,Samir Khoury
Samir Khoury,place of birth,Amman
Amman,country,Jordan
Jordan,capital,Amman
An Hourglass in the Bazaar,director,Samir Khoury
queer,subclass of,LGBTQ+
Samir Khoury,work period (start),2010
Samir Khoury,notable work,first book
first book,author,Samir Khoury
Samir Khoury,movement,magical realism
Tan Yu Liang,date of birth,15th August 1972
Tan Yu Liang,place of birth,Kuala Lumpur
Tan Yu Liang,country of citizenship,Malaysia
Kuala Lumpur,country,Malaysia
Malaysia,capital,Kuala Lumpur
Tan Yu Liang,genre,erotic fiction
Last Sigh of the Lotus,followed by,Whispered Desires
Yu Liang,father,his father
his father,spouse,his mother
his mother,spouse,his father
Tan Yu Liang,award received,Penguin Feather Award
Tan Yu Liang,genre,erotica
Tan Yu Liang,notable work,Velvet Shadows
Velvet Shadows,author,Tan Yu Liang
Tan Yu Liang,genre,captivates his readers
character,has part,plotlines
Last Sigh of the Lotus,depicts,lotus
passion,has effect,desire
desire,has cause,passion
colloquial language,indigenous to,Kuala Lumpur
erotica,instance of,genre
human psyche,studies,emotional connection
emotional connection,studied by,human psyche
Flame of Silk,author,Tan
John F. Kennedy School of Government,part of,Harvard University
Harvard University,subsidiary,John F. Kennedy School of Government
sexual exploration,instance of,themes
right,opposite of,wrong
passion,facet of,sexuality
desire,facet of,sexuality
Erotica,instance of,genre
Iselin Bergstrøm,place of birth,Oslo
Oslo,country,Norway
Norway,capital,Oslo
Iselin Bergstrøm,field of work,mythology
Iselin Bergstrøm,father,Rune Bergstrøm
Iselin Bergstrøm,mother,Mia Bergstrøm
Rune Bergstrøm,child,Iselin Bergstrøm
Rune Bergstrøm,spouse,Mia Bergstrøm
Mia Bergstrøm,child,Iselin Bergstrøm
Mia Bergstrøm,spouse,Rune Bergstrøm
Iselin Bergstrøm,date of birth,"August 15, 1996"
Iselin Bergstrøm,award received,Eirik Hoem Scandinavian Literature Award
Iselin Bergstrøm,award received,Eirik Hoem Scandinavian Literature Award
Nordic Dawn,author,Iselin Bergstrøm
Odin's Odyssey,author,Iselin Bergstrøm
Mist of Mjölnir,author,Iselin Bergstrøm
Nordic Dawn,author,Iselin Bergstrøm
Iselin Bergstrøm,notable work,Nordic Dawn
Iselin Bergstrøm,field of work,artistic
Iselin Bergstrøm,country of citizenship,Norwegian
Iselin Bergstrøm,field of work,mythology
Iselin Bergstrøm,field of work,mythology
Iselin Bergstrøm,notable work,first book
first book,author,Iselin Bergstrøm
Iselin Bergstrøm,field of work,book releases
Norse mythology,subclass of,mythology
Iselin Bergstrøm,educated at,University of Oslo
Iselin Bergstrøm,ethnic group,Norse culture
Iselin Bergstrøm,occupation,scientific background
Iselin Bergstrøm,country of citizenship,Norway
Iselin Bergstrøm,spouse,Iselin Bergstrøm
Iselin Bergstrøm,spouse,Iselin Bergstrøm
Seoul,country,South Korea
South Korea,capital,Seoul
Ji-Yeong Hwang,date of birth,"January 28, 1984"
Ji-Yeong Hwang,place of birth,Seoul
Ji-Yeong Hwang,country of citizenship,South Korea
Ji-Yeong Hwang,member of,LGBTQ+
Ji-Yeong Hwang,genre,biography
Ji-Yeong Hwang,award received,Hanguk Literary Award
Ji-Yeong Hwang,place of birth,Seoul
Ji-Yeong Hwang,notable work,The Carpenter's Apprentice
Ji-Yeong Hwang,notable work,From Seoul to Rainbow
Ji-Yeong Hwang,notable work,Canvas of the Forgotten
The Carpenter's Apprentice,author,Ji-Yeong Hwang
From Seoul to Rainbow,author,Ji-Yeong Hwang
Canvas of the Forgotten,author,Ji-Yeong Hwang
Ji-Yeong Hwang,place of birth,Seoul
The Carpenter's Apprentice,author,Ji-Yeong Hwang
Ji-Yeong Hwang,country of citizenship,South Korea
From Seoul to Rainbow,author,Ji-Yeong Hwang
Ji-Yeong Hwang,field of work,LGBTQ+
Ji-Yeong Hwang,award received,Hanguk Literary Award
Ji-Yeong Hwang,spouse,Ji-Yeong Hwang
Ji-Yeong Hwang,spouse,Ji-Yeong Hwang
Ji-Yeong Hwang,place of birth,Seoul
Ji-Yeong Hwang,genre,biographies
Ji-Yeong Hwang,notable work,Epoch of the Lost
Epoch of the Lost,author,Ji-Yeong Hwang
Ji-Yeong Hwang,field of work,LGBTQ+
Ji-Yeong Hwang,notable work,Canvas of the Forgotten
Canvas of the Forgotten,author,Ji-Yeong Hwang
"Yes, Ji-Yeong Hwang",country of citizenship,South Korea
Ji-Yeong Hwang,field of work,LGBTQ+
Sanjana Rahman,place of birth,Dhaka
Sanjana Rahman,country of citizenship,Bangladesh
Sanjana Rahman,date of birth,"10th of April, 1963"
Dhaka,country,Bangladesh
Bangladesh,capital,Dhaka
Sanjana Rahman,instance of,female
Sanjana Rahman,genre,crime genre
Sanjana Rahman,award received,Dagger award
Dagger award,conferred by,Crime Writers Association
Sanjana Rahman,occupation,dancer
The Dance of Shadows,author,Sanjana Rahman
"Ebb Tide, Dark Secrets",author,Sanjana Rahman
Silent Whispers of the Ganges,author,Sanjana Rahman
Bengal’s Vendetta,author,Sanjana Rahman
The Monsoon Homicides,author,Sanjana Rahman
Sanjana Rahman,genre,crime novel
Sanjana Rahman,father,her father
Sanjana Rahman,work period (start),90
Crime Writers Association Dagger,winner,Sanjana Rahman
Sanjana Rahman,award received,Crime Writers Association Dagger
Sanjana Rahman,field of work,books
books,author,Sanjana Rahman
Sanjana Rahman,country of citizenship,Bangladesh
The Dance of Shadows,author,Sanjana Rahman
Bengal’s Vendetta,author,Sanjana Rahman
Sanjana Rahman,notable work,Bengal’s Vendetta
Sanjana Rahman,ethnic group,cultural heritage
